date,open,high,low,close,volume,market cap,market cap (2),book to market_for security,number of shares
2005-07-29,8.565,8.75,8.565,8.745,2039600.0,,1194982.0,1.15,27232
2005-08-01,8.5125,8.875,8.5125,8.81,1648000.0,,1194982.0,1.16,27232
2005-08-02,8.825,8.9,8.71,8.775,1422800.0,,1194982.0,1.15,27232
2005-08-03,8.75,8.93,8.74,8.88,1539600.0,,1194982.0,1.17,27232
2005-08-04,8.8375,8.8825,8.5875,8.6175,1181200.0,,1194982.0,1.13,27232
2005-08-05,8.63,8.7275,8.35,8.445,1051200.0,,1194982.0,1.11,27232
2005-08-08,8.4475,8.4725,8.2475,8.4225,1239200.0,,1194982.0,1.11,27232
2005-08-09,8.4475,8.4725,8.31,8.3575,1245600.0,,1194982.0,1.1,27232
2005-08-10,8.3525,8.6625,8.3175,8.3925,1668400.0,,1194982.0,1.1,27232
2005-08-11,8.39,8.3925,8.235,8.325,1444400.0,,1194982.0,1.1,27232
2005-08-12,8.3225,8.325,8.095,8.3,1412000.0,,1194982.0,1.09,27232
2005-08-15,8.275,8.52,8.19,8.44,1606000.0,,1194982.0,1.11,27232
2005-08-16,8.4625,8.6725,8.4175,8.5775,1915600.0,,1194982.0,1.13,27232
2005-08-17,8.5825,8.85,8.4575,8.8425,2374800.0,,1194982.0,1.16,27232
2005-08-18,8.775,8.8125,8.61,8.61,2380400.0,,1194982.0,1.13,27232
2005-08-19,8.6075,8.6525,8.4275,8.4275,949200.0,,1194982.0,1.11,27232
2005-08-22,8.4475,8.6275,8.395,8.5,1148000.0,,1194982.0,1.12,27232
2005-08-23,8.5,8.56,8.4075,8.475,3150400.0,,1194982.0,1.12,27232
2005-08-24,8.4625,8.5625,8.3675,8.4025,1296400.0,,1194982.0,1.11,27232
2005-08-25,8.465,8.535,8.325,8.445,1405200.0,,1194982.0,1.11,27232
2005-08-26,8.465,8.6125,8.4375,8.51,1308400.0,,1194982.0,1.12,27232
2005-08-29,8.46,8.4625,8.3675,8.4475,1381600.0,,1194982.0,1.11,27232
2005-08-30,8.45,8.4925,8.15,8.24,1435200.0,,1194982.0,1.08,27232
2005-08-31,8.25,8.47,8.1825,8.43,1623200.0,,1194982.0,1.11,27232
2005-09-01,8.43,8.4475,8.185,8.215,6332400.0,,1194982.0,1.08,27232
2005-09-02,8.195,8.35,8.12,8.1725,1302400.0,,1194982.0,1.08,27232
2005-09-05,,,,,,,1194982.0,1.08,27232
2005-09-06,8.1725,8.24,8.03,8.1125,1730800.0,,1194982.0,1.07,27232
2005-09-07,8.1475,8.25,8.07,8.22,1094000.0,,1194982.0,1.08,27232
2005-09-08,8.175,8.175,8.035,8.09,1381200.0,,1194982.0,1.06,27232
2005-09-09,8.08,8.08,7.8925,8.005,1242400.0,,1194982.0,1.05,27232
2005-09-12,8.005,8.35,7.9725,8.2425,1850400.0,,1194982.0,1.08,27232
2005-09-13,8.25,8.25,7.9875,7.9875,1443600.0,,1194982.0,1.05,27232
2005-09-14,7.99,8.045,7.8,7.81,1300400.0,,1194982.0,1.03,27232
2005-09-15,7.81,7.9525,7.7725,7.81,1980400.0,,1194982.0,1.03,27232
2005-09-16,7.8125,7.895,7.7275,7.895,1683600.0,,1194982.0,1.04,27232
2005-09-19,7.895,7.895,7.635,7.6775,1203200.0,,1194982.0,1.01,27232
2005-09-20,7.725,7.81,7.64,7.655,1122400.0,,1194982.0,1.01,27232
2005-09-21,7.655,7.655,7.21,7.27,3072000.0,,1194982.0,0.96,27232
2005-09-22,7.27,7.5925,7.2175,7.5,1859200.0,,1194982.0,0.99,27232
2005-09-23,7.5025,7.6425,7.425,7.54,1305200.0,,1194982.0,0.99,27232
2005-09-26,7.54,7.6,7.4375,7.4975,2067600.0,,1194982.0,0.99,27232
2005-09-27,7.48,7.595,7.38,7.5125,1367200.0,,1194982.0,0.99,27232
2005-09-28,7.5625,7.5825,7.4025,7.4075,1009200.0,,1194982.0,0.97,27232
2005-09-29,7.3625,7.3625,7.095,7.1375,3140800.0,,1194982.0,0.94,27232
2005-09-30,7.125,7.305,7.125,7.265,1762400.0,,1194982.0,0.97,27603
2005-10-03,7.3475,7.3675,7.285,7.3375,870400.0,,1194982.0,0.98,27603
2005-10-04,7.335,7.585,7.335,7.3475,1345600.0,,1194982.0,0.98,27603
2005-10-05,7.3625,7.3775,7.1775,7.2375,1422400.0,,1194982.0,0.97,27603
2005-10-06,7.3,7.4825,7.2675,7.4275,1723200.0,,1194982.0,0.99,27603
2005-10-07,7.43,7.505,7.245,7.4425,927200.0,,1194982.0,0.99,27603
2005-10-10,7.445,7.5375,7.305,7.34,1064400.0,,1194982.0,0.98,27603
2005-10-11,7.35,7.37,7.0575,7.1,1407600.0,,1194982.0,0.95,27603
2005-10-12,7.1025,7.23,7.055,7.205,2887200.0,,1194982.0,0.96,27603
2005-10-13,7.2075,7.2875,7.1,7.2175,1521600.0,,1194982.0,0.96,27603
2005-10-14,7.27,7.425,7.165,7.4025,1223200.0,,1194982.0,0.99,27603
2005-10-17,7.4025,7.4525,7.23,7.33,995200.0,,1194982.0,0.98,27603
2005-10-18,7.3325,7.405,7.25,7.29,2318000.0,,1194982.0,0.97,27603
2005-10-19,7.2925,7.3975,7.1125,7.375,2204000.0,,1194982.0,0.98,27603
2005-10-20,7.5,7.6,7.2525,7.335,3105600.0,,1194982.0,0.98,27603
2005-10-21,7.3475,7.5975,7.3475,7.505,1720400.0,,1194982.0,1.0,27603
2005-10-24,7.5975,7.76,7.5,7.755,1554800.0,,1194982.0,1.03,27603
2005-10-25,7.75,7.75,7.45,7.515,1924800.0,,1194982.0,1.0,27603
